id,left,top,right,bottom,row_index,col_index,area_km2,fid_count,fid_sum,id_count,area_m2_co,area_m2_su,DN_count,DN_sum,DN_mean,obf_pct,obf_n,bld_n,wsf_n,UMI,UMI_w
216,730540.699300000094809,2580188.005200000014156,731540.699300000094809,2579188.005200000014156,5,7,0.023,,,,,,1,0.000000,0.000000,0.000,0.000,,0.000,,
217,730540.699300000094809,2579188.005200000014156,731540.699300000094809,2578188.005200000014156,6,7,0.261,,,,,,2,255.000000,127.500000,0.000,0.000,,0.513,,
218,730540.699300000094809,2578188.005200000014156,731540.699300000094809,2577188.005200000014156,7,7,0.001,,,,,,1,0.000000,0.000000,0.000,0.000,,0.000,,
222,730540.699300000094809,2574188.005200000014156,731540.699300000094809,2573188.005200000014156,11,7,0.003,,,,,,1,0.000000,0.000000,0.000,0.000,,0.000,,
246,731540.699300000094809,2580188.005200000014156,732540.699300000094809,2579188.005200000014156,5,8,0.016,,,,,,1,0.000000,0.000000,0.000,0.000,,0.000,,
247,731540.699300000094809,2579188.005200000014156,732540.699300000094809,2578188.005200000014156,6,8,0.995,16,1478105.000000,16,16,4990.025000,55,13515.000000,245.727273,0.502,0.009,0.009,0.988,0.335,0.205
248,731540.699300000094809,2578188.005200000014156,732540.699300000094809,2577188.005200000014156,7,8,0.722,89,8047189.000000,89,89,42867.983000,42,9690.000000,230.714286,5.937,0.112,0.050,0.928,0.363,0.250
249,731540.699300000094809,2577188.005200000014156,732540.699300000094809,2576188.005200000014156,8,8,0.279,12,1101074.000000,12,12,3467.952000,8,1785.000000,223.125000,1.243,0.023,0.007,0.897,0.309,0.191
250,731540.699300000094809,2576188.005200000014156,732540.699300000094809,2575188.005200000014156,9,8,0.560,42,3575392.000000,42,42,7267.630000,46,11220.000000,243.913043,1.298,0.024,0.024,0.981,0.343,0.215
251,731540.699300000094809,2575188.005200000014156,732540.699300000094809,2574188.005200000014156,10,8,0.915,92,8948483.000000,92,92,13903.140000,50,9945.000000,198.900000,1.519,0.029,0.052,0.800,0.294,0.192
252,731540.699300000094809,2574188.005200000014156,732540.699300000094809,2573188.005200000014156,11,8,0.894,36,3474233.000000,36,36,4820.603000,12,2805.000000,233.750000,0.539,0.010,0.020,0.940,0.323,0.200
253,731540.699300000094809,2573188.005200000014156,732540.699300000094809,2572188.005200000014156,12,8,0.439,13,1222704.000000,13,13,1345.491000,2,255.000000,127.500000,0.306,0.006,0.007,0.513,0.175,0.108
277,732540.699300000094809,2579188.005200000014156,733540.699300000094809,2578188.005200000014156,6,9,0.911,35,3286358.000000,35,35,5192.321000,12,2550.000000,212.500000,0.570,0.011,0.020,0.855,0.295,0.183
278,732540.699300000094809,2578188.005200000014156,733540.699300000094809,2577188.005200000014156,7,9,0.999,52,5124711.000000,52,52,21907.478000,28,6120.000000,218.571429,2.193,0.041,0.029,0.879,0.316,0.204
279,732540.699300000094809,2577188.005200000014156,733540.699300000094809,2576188.005200000014156,8,9,0.999,154,14274394.000000,154,154,48019.137000,79,17085.000000,216.265823,4.807,0.090,0.087,0.870,0.349,0.245
280,732540.699300000094809,2576188.005200000014156,733540.699300000094809,2575188.005200000014156,9,9,0.999,204,19114541.000000,204,204,20582.844000,51,7140.000000,140.000000,2.060,0.039,0.115,0.563,0.239,0.174
281,732540.699300000094809,2575188.005200000014156,733540.699300000094809,2574188.005200000014156,10,9,0.999,21,2046521.000000,21,21,2217.863000,7,1530.000000,218.571429,0.222,0.004,0.012,0.879,0.298,0.182
282,732540.699300000094809,2574188.005200000014156,733540.699300000094809,2573188.005200000014156,11,9,0.999,241,22835295.000000,241,241,41664.480000,64,7140.000000,111.562500,4.171,0.078,0.136,0.449,0.221,0.175
283,732540.699300000094809,2573188.005200000014156,733540.699300000094809,2572188.005200000014156,12,9,0.775,,,,,,1,0.000000,0.000000,0.000,0.000,,0.000,,
307,733540.699300000094809,2579188.005200000014156,734540.699300000094809,2578188.005200000014156,6,10,0.511,17,1591950.000000,17,17,8482.439000,6,1275.000000,212.500000,1.660,0.031,0.010,0.855,0.299,0.187
308,733540.699300000094809,2578188.005200000014156,734540.699300000094809,2577188.005200000014156,7,10,0.953,83,8091232.000000,83,83,14458.469000,13,2805.000000,215.769231,1.517,0.029,0.047,0.868,0.315,0.204
309,733540.699300000094809,2577188.005200000014156,734540.699300000094809,2576188.005200000014156,8,10,0.999,30,2849397.000000,30,30,3133.832000,11,2550.000000,231.818182,0.314,0.006,0.017,0.932,0.318,0.196
310,733540.699300000094809,2576188.005200000014156,734540.699300000094809,2575188.005200000014156,9,10,0.999,273,25392238.000000,273,273,37234.448000,32,3825.000000,119.531250,3.727,0.070,0.154,0.481,0.235,0.186
311,733540.699300000094809,2575188.005200000014156,734540.699300000094809,2574188.005200000014156,10,10,0.999,159,14622258.000000,159,159,19582.591000,31,6120.000000,197.419355,1.960,0.037,0.090,0.794,0.307,0.210
312,733540.699300000094809,2574188.005200000014156,734540.699300000094809,2573188.005200000014156,11,10,0.999,32,2643743.000000,32,32,5860.607000,11,2550.000000,231.818182,0.587,0.011,0.018,0.932,0.320,0.198
313,733540.699300000094809,2573188.005200000014156,734540.699300000094809,2572188.005200000014156,12,10,0.653,,,,,,1,0.000000,0.000000,0.000,0.000,,0.000,,
337,734540.699300000094809,2579188.005200000014156,735540.699300000094809,2578188.005200000014156,6,11,0.298,28,2262319.000000,28,28,10187.396000,15,3570.000000,238.000000,3.419,0.064,0.016,0.957,0.346,0.223
338,734540.699300000094809,2578188.005200000014156,735540.699300000094809,2577188.005200000014156,7,11,0.787,54,4975909.000000,54,54,12124.112000,24,5865.000000,244.375000,1.541,0.029,0.030,0.983,0.347,0.220
339,734540.699300000094809,2577188.005200000014156,735540.699300000094809,2576188.005200000014156,8,11,0.999,9,758078.000000,9,9,1322.945000,6,1275.000000,212.500000,0.132,0.002,0.005,0.855,0.287,0.174
340,734540.699300000094809,2576188.005200000014156,735540.699300000094809,2575188.005200000014156,9,11,0.999,9,642365.000000,9,9,751.158000,2,255.000000,127.500000,0.075,0.001,0.005,0.513,0.173,0.105
341,734540.699300000094809,2575188.005200000014156,735540.699300000094809,2574188.005200000014156,10,11,0.999,103,9966189.000000,103,103,21071.629000,32,7395.000000,231.093750,2.109,0.040,0.058,0.929,0.342,0.225
342,734540.699300000094809,2574188.005200000014156,735540.699300000094809,2573188.005200000014156,11,11,0.999,8,939900.000000,8,8,1464.212000,3,510.000000,170.000000,0.147,0.003,0.005,0.684,0.231,0.140
343,734540.699300000094809,2573188.005200000014156,735540.699300000094809,2572188.005200000014156,12,11,0.424,,,,,,1,0.000000,0.000000,0.000,0.000,,0.000,,
366,735540.699300000094809,2580188.005200000014156,736540.699300000094809,2579188.005200000014156,5,12,0.011,,,,,,1,0.000000,0.000000,0.000,0.000,,0.000,,
367,735540.699300000094809,2579188.005200000014156,736540.699300000094809,2578188.005200000014156,6,12,0.871,58,4961099.000000,58,58,14185.172000,25,6120.000000,244.800000,1.629,0.031,0.033,0.985,0.350,0.223
