fid,id,left,top,right,bottom,row_index,col_index,area_km2,fid_count,area_m2_sum,density,area_m2_mean,area_m2_max,area_m2_stddev,UMAP1,UMAP2,Cluster
1,216,730540.6993,2580188.0052,731540.6993,2579188.0052,5,7,0.023,,,0.0,,,,-16.9271,-0.4113188,1
2,217,730540.6993,2579188.0052,731540.6993,2578188.0052,6,7,0.261,,,0.0,,,,-16.494602,-0.14688915,1
3,218,730540.6993,2578188.0052,731540.6993,2577188.0052,7,7,0.001,,,0.0,,,,-16.834944,0.5035349,1
4,222,730540.6993,2574188.0052,731540.6993,2573188.0052,11,7,0.003,,,0.0,,,,-17.265285,0.29770374,1
5,246,731540.6993,2580188.0052,732540.6993,2579188.0052,5,8,0.016,,,0.0,,,,-17.10811,-0.39071712,1
6,247,731540.6993,2579188.0052,732540.6993,2578188.0052,6,8,0.995,16.0,4990.025,0.005,311.876563,749.478,201.696399,5.940446,10.047937,0
7,248,731540.6993,2578188.0052,732540.6993,2577188.0052,7,8,0.722,89.0,42867.983,0.059,481.66273,4371.658,667.172978,8.050399,7.0902214,5
8,249,731540.6993,2577188.0052,732540.6993,2576188.0052,8,8,0.279,12.0,3467.952,0.012,288.996,1233.047,354.230563,6.1859283,9.76051,0
9,250,731540.6993,2576188.0052,732540.6993,2575188.0052,9,8,0.56,42.0,7267.63,0.013,173.03881,1560.468,245.343182,6.556701,11.082406,0
10,251,731540.6993,2575188.0052,732540.6993,2574188.0052,10,8,0.915,92.0,13903.14,0.015,151.121087,2335.557,296.868552,7.023908,10.855852,0
11,252,731540.6993,2574188.0052,732540.6993,2573188.0052,11,8,0.894,36.0,4820.603,0.005,133.905639,736.411,151.634061,6.5912175,12.791288,4
12,253,731540.6993,2573188.0052,732540.6993,2572188.0052,12,8,0.439,13.0,1345.491,0.003,103.499308,378.15,97.727336,6.6257024,14.362564,4
13,277,732540.6993,2579188.0052,733540.6993,2578188.0052,6,9,0.911,35.0,5192.321,0.006,148.352029,535.779,116.350905,6.251868,12.955909,4
14,278,732540.6993,2578188.0052,733540.6993,2577188.0052,7,9,0.999,52.0,21907.478,0.022,421.297654,4803.746,907.548527,8.043247,6.839319,5
15,279,732540.6993,2577188.0052,733540.6993,2576188.0052,8,9,0.999,154.0,48019.137,0.048,311.812578,5081.217,716.02827,8.983452,7.516762,5
16,280,732540.6993,2576188.0052,733540.6993,2575188.0052,9,9,0.999,204.0,20582.844,0.021,100.896294,585.618,85.513792,8.228263,12.681851,4
17,281,732540.6993,2575188.0052,733540.6993,2574188.0052,10,9,0.999,21.0,2217.863,0.002,105.612524,247.057,54.120023,6.2422895,14.160743,4
18,282,732540.6993,2574188.0052,733540.6993,2573188.0052,11,9,0.999,241.0,41664.48,0.042,172.88166,1962.089,246.323562,9.3317375,11.181127,3
19,283,732540.6993,2573188.0052,733540.6993,2572188.0052,12,9,0.775,,,0.0,,,,-16.680763,0.10660321,1
20,307,733540.6993,2579188.0052,734540.6993,2578188.0052,6,10,0.511,17.0,8482.439,0.017,498.967,1817.839,575.697398,7.618065,7.1788254,5
21,308,733540.6993,2578188.0052,734540.6993,2577188.0052,7,10,0.953,83.0,14458.469,0.015,174.198422,1538.206,278.25543,6.7030826,10.941894,0
22,309,733540.6993,2577188.0052,734540.6993,2576188.0052,8,10,0.999,30.0,3133.832,0.003,104.461067,626.37,141.079522,6.764695,14.237003,4
23,310,733540.6993,2576188.0052,734540.6993,2575188.0052,9,10,0.999,273.0,37234.448,0.037,136.389919,1649.655,161.523022,9.172331,11.6154995,3
24,311,733540.6993,2575188.0052,734540.6993,2574188.0052,10,10,0.999,159.0,19582.591,0.02,123.16095,962.455,142.457888,7.920387,12.597431,4
25,312,733540.6993,2574188.0052,734540.6993,2573188.0052,11,10,0.999,32.0,5860.607,0.006,183.143969,727.021,166.159319,6.230234,12.354309,4
26,313,733540.6993,2573188.0052,734540.6993,2572188.0052,12,10,0.653,,,0.0,,,,-17.003834,0.024779467,1
27,337,734540.6993,2579188.0052,735540.6993,2578188.0052,6,11,0.298,28.0,10187.396,0.034,363.835571,2463.035,478.212449,7.071147,8.197747,0
28,338,734540.6993,2578188.0052,735540.6993,2577188.0052,7,11,0.787,54.0,12124.112,0.015,224.520593,1215.572,241.64691,6.1866674,10.530027,0
29,339,734540.6993,2577188.0052,735540.6993,2576188.0052,8,11,0.999,9.0,1322.945,0.001,146.993889,492.304,140.916643,6.1971684,13.0047655,4
30,340,734540.6993,2576188.0052,735540.6993,2575188.0052,9,11,0.999,9.0,751.158,0.001,83.462,192.86,43.322545,6.545535,15.583956,4
31,341,734540.6993,2575188.0052,735540.6993,2574188.0052,10,11,0.999,103.0,21071.629,0.021,204.578922,2302.006,337.361227,6.9604173,10.338256,0
32,342,734540.6993,2574188.0052,735540.6993,2573188.0052,11,11,0.999,8.0,1464.212,0.001,183.0265,786.273,242.690806,6.213122,11.162717,0
33,343,734540.6993,2573188.0052,735540.6993,2572188.0052,12,11,0.424,,,0.0,,,,-17.32347,0.13028768,1
34,366,735540.6993,2580188.0052,736540.6993,2579188.0052,5,12,0.011,,,0.0,,,,-16.298773,-0.08536553,1
35,367,735540.6993,2579188.0052,736540.6993,2578188.0052,6,12,0.871,58.0,14185.172,0.016,244.571931,1793.207,329.24889,6.3258767,9.94078,0
36,368,735540.6993,2578188.0052,736540.6993,2577188.0052,7,12,0.999,263.0,49613.448,0.05,188.644289,4905.346,364.357722,9.427087,8.456309,5
37,369,735540.6993,2577188.0052,736540.6993,2576188.0052,8,12,0.999,113.0,13584.34,0.014,120.215398,275.777,71.656678,7.5625916,14.001131,4
38,370,735540.6993,2576188.0052,736540.6993,2575188.0052,9,12,0.999,78.0,30857.372,0.031,395.607333,10590.778,1363.315414,9.23807,6.225425,5
39,371,735540.6993,2575188.0052,736540.6993,2574188.0052,10,12,0.999,156.0,52259.552,0.052,334.997128,10590.778,1008.887241,9.499932,6.5157156,5
40,372,735540.6993,2574188.0052,736540.6993,2573188.0052,11,12,0.999,,,0.0,,,,-16.887815,0.5130351,1
41,373,735540.6993,2573188.0052,736540.6993,2572188.0052,12,12,0.166,,,0.0,,,,-17.262077,0.03428997,1
42,374,735540.6993,2572188.0052,736540.6993,2571188.0052,13,12,0.009,,,0.0,,,,-16.722517,-0.37966985,1
43,375,735540.6993,2571188.0052,736540.6993,2570188.0052,14,12,0.037,,,0.0,,,,-16.356104,-0.23618765,1
44,396,736540.6993,2580188.0052,737540.6993,2579188.0052,5,13,0.201,17.0,2224.783,0.011,130.869588,331.321,74.318418,6.30987,13.691271,4
45,397,736540.6993,2579188.0052,737540.6993,2578188.0052,6,13,0.617,76.0,16745.981,0.027,220.341855,2712.473,318.024442,6.89015,10.229345,0
46,398,736540.6993,2578188.0052,737540.6993,2577188.0052,7,13,0.984,274.0,69237.724,0.07,252.692423,4030.205,362.675008,9.437215,8.779518,3
47,399,736540.6993,2577188.0052,737540.6993,2576188.0052,8,13,0.999,310.0,50109.403,0.05,161.643235,1169.059,172.725213,9.527746,11.341783,3
48,400,736540.6993,2576188.0052,737540.6993,2575188.0052,9,13,0.999,326.0,60183.879,0.06,184.613126,1847.39,224.7865,9.692313,10.824881,3
49,401,736540.6993,2575188.0052,737540.6993,2574188.0052,10,13,0.999,156.0,33280.696,0.033,213.337795,1847.39,268.245645,6.7646585,10.418086,0
50,402,736540.6993,2574188.0052,737540.6993,2573188.0052,11,13,0.987,,,0.0,,,,-16.334463,0.12266225,1
51,403,736540.6993,2573188.0052,737540.6993,2572188.0052,12,13,0.552,,,0.0,,,,-16.495398,0.37164003,1
52,404,736540.6993,2572188.0052,737540.6993,2571188.0052,13,13,0.893,116.0,13241.945,0.015,114.154698,534.075,95.211555,7.5598683,13.852759,4
53,405,736540.6993,2571188.0052,737540.6993,2570188.0052,14,13,0.483,66.0,6619.218,0.014,100.291182,534.075,95.859973,7.3294325,14.159041,4
54,425,737540.6993,2581188.0052,738540.6993,2580188.0052,4,14,0.061,4.0,1545.884,0.025,386.471,1256.218,502.638211,7.1044793,8.102891,0
55,426,737540.6993,2580188.0052,738540.6993,2579188.0052,5,14,0.249,36.0,8314.898,0.033,230.969389,1502.561,278.371363,6.3095126,10.21205,0
56,428,737540.6993,2578188.0052,738540.6993,2577188.0052,7,14,0.647,56.0,15591.344,0.024,278.416857,1169.059,262.202934,6.070659,9.7114105,0
57,429,737540.6993,2577188.0052,738540.6993,2576188.0052,8,14,0.999,334.0,90981.493,0.091,272.39968,11576.571,681.921933,10.078854,6.458282,5
58,430,737540.6993,2576188.0052,738540.6993,2575188.0052,9,14,0.999,470.0,95266.143,0.095,202.693921,2372.577,259.745452,10.470371,9.846402,3
59,431,737540.6993,2575188.0052,738540.6993,2574188.0052,10,14,0.999,16.0,2504.407,0.003,156.525438,625.697,141.14403,6.214225,12.7935915,4
60,432,737540.6993,2574188.0052,738540.6993,2573188.0052,11,14,0.999,,,0.0,,,,-16.537891,-0.2740661,1
61,433,737540.6993,2573188.0052,738540.6993,2572188.0052,12,14,0.999,,,0.0,,,,-16.64922,0.21644714,1
62,434,737540.6993,2572188.0052,738540.6993,2571188.0052,13,14,0.999,,,0.0,,,,-16.984383,0.05052218,1
63,435,737540.6993,2571188.0052,738540.6993,2570188.0052,14,14,0.247,,,0.0,,,,-16.905935,0.24855602,1
64,454,738540.6993,2582188.0052,739540.6993,2581188.0052,3,15,0.508,18.0,1546.133,0.003,85.896278,530.988,111.047382,6.7491326,14.648787,4
65,455,738540.6993,2581188.0052,739540.6993,2580188.0052,4,15,0.944,59.0,15235.13,0.016,258.222542,1329.681,343.661727,6.226694,9.807002,0
